trading_code,date,high_price,low_price,opening_price,closing_price,yesterdays_closing_price,trade,value_mn,volume,F_exchange_reserve,BD_M0,GDP_annual_growth,export,import,last_traded_price
GLAXOSMITH,2009-01-01 0:00:00,340,320,339.3,327,330.1,48,1.3632,4150,10097.8,398.87,5.05,85.72,142.52,332
GLAXOSMITH,2009-01-04 0:00:00,369.7,330,330,350.9,327,168,5.5149,16050,10097.8,398.87,5.05,85.72,142.52,356
GLAXOSMITH,2009-01-05 0:00:00,377.9,345,377.9,350.1,350.9,101,3.3121,9250,10097.8,398.87,5.05,85.72,142.52,345
GLAXOSMITH,2009-01-06 0:00:00,358,315,349,339.1,350.1,31,0.7045,2050,10097.8,398.87,5.05,85.72,142.52,332
GLAXOSMITH,2009-01-07 0:00:00,354,330.1,354,336.2,339.1,32,0.8785,2600,10097.8,398.87,5.05,85.72,142.52,331
GLAXOSMITH,2009-01-11 0:00:00,340,323,340,326.4,336.2,23,0.6598,2000,10097.8,398.87,5.05,85.72,142.52,323
GLAXOSMITH,2009-01-12 0:00:00,330,320,325,323.7,326.4,29,0.68,2100,10097.8,398.87,5.05,85.72,142.52,330
GLAXOSMITH,2009-01-13 0:00:00,324,315,322,318.4,323.7,47,1.9413,6100,10097.8,398.87,5.05,85.72,142.52,323
GLAXOSMITH,2009-01-14 0:00:00,325.7,313,317,319.1,318.4,72,2.1988,6950,10097.8,398.87,5.05,85.72,142.52,323.8
GLAXOSMITH,2009-01-15 0:00:00,319,313,316.1,318.4,319.1,63,1.731,5450,10097.8,398.87,5.05,85.72,142.52,313
GLAXOSMITH,2009-01-18 0:00:00,319.9,313,315,314.3,318.4,36,0.8816,2800,10097.8,398.87,5.05,85.72,142.52,315
GLAXOSMITH,2009-01-19 0:00:00,314,301,311,304.7,314.3,64,2.064,6750,10097.8,398.87,5.05,85.72,142.52,314
GLAXOSMITH,2009-01-20 0:00:00,325,313,313,321.4,304.7,65,1.6395,5100,10097.8,398.87,5.05,85.72,142.52,317
